statefp,cd115fp,affgeoid,id,state,fr,abr,elu2016,elu,name,percent-dem,percent-rep
24,7,5001500US2407,2407,Maryland,Maryland,MD,D,,,,
24,8,5001500US2408,2408,Maryland,Maryland,MD,D,,,,
25,1,5001500US2501,2501,Massachusetts,Massachusetts,MA,D,,,,
25,2,5001500US2502,2502,Massachusetts,Massachusetts,MA,D,,,,
25,3,5001500US2503,2503,Massachusetts,Massachusetts,MA,D,,,,
25,4,5001500US2504,2504,Massachusetts,Massachusetts,MA,D,,,,
25,5,5001500US2505,2505,Massachusetts,Massachusetts,MA,D,,,,
25,6,5001500US2506,2506,Massachusetts,Massachusetts,MA,D,,,,
25,7,5001500US2507,2507,Massachusetts,Massachusetts,MA,D,,,,
25,8,5001500US2508,2508,Massachusetts,Massachusetts,MA,D,,,,
25,9,5001500US2509,2509,Massachusetts,Massachusetts,MA,D,,,,
26,1,5001500US2601,2601,Michigan,Michigan,MI,R,,,,
26,10,5001500US2610,2610,Michigan,Michigan,MI,R,,,,
26,11,5001500US2611,2611,Michigan,Michigan,MI,R,,,,
26,12,5001500US2612,2612,Michigan,Michigan,MI,D,,,,
26,13,5001500US2613,2613,Michigan,Michigan,MI,D,,,,
26,14,5001500US2614,2614,Michigan,Michigan,MI,D,,,,
26,2,5001500US2602,2602,Michigan,Michigan,MI,R,,,,
26,3,5001500US2603,2603,Michigan,Michigan,MI,R,,,,
26,4,5001500US2604,2604,Michigan,Michigan,MI,R,,,,
26,5,5001500US2605,2605,Michigan,Michigan,MI,D,,,,
26,6,5001500US2606,2606,Michigan,Michigan,MI,R,,,,
26,7,5001500US2607,2607,Michigan,Michigan,MI,R,,,,
26,8,5001500US2608,2608,Michigan,Michigan,MI,R,,,,
26,9,5001500US2609,2609,Michigan,Michigan,MI,D,,,,
27,1,5001500US2701,2701,Minnesota,Minnesota,MN,D,,,,
27,2,5001500US2702,2702,Minnesota,Minnesota,MN,R,,,,
27,3,5001500US2703,2703,Minnesota,Minnesota,MN,R,,,,
27,4,5001500US2704,2704,Minnesota,Minnesota,MN,D,,,,
27,5,5001500US2705,2705,Minnesota,Minnesota,MN,D,,,,
27,6,5001500US2706,2706,Minnesota,Minnesota,MN,R,,,,
27,7,5001500US2707,2707,Minnesota,Minnesota,MN,D,,,,
27,8,5001500US2708,2708,Minnesota,Minnesota,MN,D,,,,
28,1,5001500US2801,2801,Mississippi,Mississippi,MS,R,,,,
28,2,5001500US2802,2802,Mississippi,Mississippi,MS,D,,,,
28,3,5001500US2803,2803,Mississippi,Mississippi,MS,R,,,,
28,4,5001500US2804,2804,Mississippi,Mississippi,MS,R,,,,
29,1,5001500US2901,2901,Missouri,Missouri,MO,D,,,,
29,2,5001500US2902,2902,Missouri,Missouri,MO,R,,,,
29,3,5001500US2903,2903,Missouri,Missouri,MO,R,,,,
29,4,5001500US2904,2904,Missouri,Missouri,MO,R,,,,
29,5,5001500US2905,2905,Missouri,Missouri,MO,D,,,,
29,6,5001500US2906,2906,Missouri,Missouri,MO,R,,,,
29,7,5001500US2907,2907,Missouri,Missouri,MO,R,,,,
29,8,5001500US2908,2908,Missouri,Missouri,MO,R,,,,
30,0,5001500US3000,3000,Montana,Montana,MT,R,,,,
31,1,5001500US3101,3101,Nebraska,Nebraska,NE,R,,,,
31,2,5001500US3102,3102,Nebraska,Nebraska,NE,R,,,,
31,3,5001500US3103,3103,Nebraska,Nebraska,NE,R,,,,
32,1,5001500US3201,3201,Nevada,Nevada,NV,D,,,,
32,2,5001500US3202,3202,Nevada,Nevada,NV,R,,,,
32,3,5001500US3203,3203,Nevada,Nevada,NV,D,,,,
32,4,5001500US3204,3204,Nevada,Nevada,NV,D,,,,
33,1,5001500US3301,3301,New Hampshire,New Hampshire,NH,D,,,,
33,2,5001500US3302,3302,New Hampshire,New Hampshire,NH,D,,,,
34,1,5001500US3401,3401,New Jersey,New Jersey,NJ,D,,,,
34,10,5001500US3410,3410,New Jersey,New Jersey,NJ,D,,,,
34,11,5001500US3411,3411,New Jersey,New Jersey,NJ,R,,,,
34,12,5001500US3412,3412,New Jersey,New Jersey,NJ,D,,,,
34,2,5001500US3402,3402,New Jersey,New Jersey,NJ,R,,,,
34,3,5001500US3403,3403,New Jersey,New Jersey,NJ,R,,,,
34,4,5001500US3404,3404,New Jersey,New Jersey,NJ,R,,,,
34,5,5001500US3405,3405,New Jersey,New Jersey,NJ,D,,,,
34,6,5001500US3406,3406,New Jersey,New Jersey,NJ,D,,,,
34,7,5001500US3407,3407,New Jersey,New Jersey,NJ,R,,,,
34,8,5001500US3408,3408,New Jersey,New Jersey,NJ,D,,,,
34,9,5001500US3409,3409,New Jersey,New Jersey,NJ,D,,,,
35,1,5001500US3501,3501,New Mexico,Nouveau Mexique,NM,D,,,,
35,2,5001500US3502,3502,New Mexico,Nouveau Mexique,NM,R,,,,
35,3,5001500US3503,3503,New Mexico,Nouveau Mexique,NM,D,,,,
36,1,5001500US3601,3601,New York,New York,NY,R,,,,
36,10,5001500US3610,3610,New York,New York,NY,D,,,,
36,11,5001500US3611,3611,New York,New York,NY,R,,,,
36,12,5001500US3612,3612,New York,New York,NY,D,,,,
36,13,5001500US3613,3613,New York,New York,NY,D,,,,
36,14,5001500US3614,3614,New York,New York,NY,D,,,,
36,15,5001500US3615,3615,New York,New York,NY,D,,,,
36,16,5001500US3616,3616,New York,New York,NY,D,,,,
36,17,5001500US3617,3617,New York,New York,NY,D,,,,
36,18,5001500US3618,3618,New York,New York,NY,D,,,,
36,19,5001500US3619,3619,New York,New York,NY,R,,,,
36,2,5001500US3602,3602,New York,New York,NY,R,,,,
36,20,5001500US3620,3620,New York,New York,NY,D,,,,
36,21,5001500US3621,3621,New York,New York,NY,R,,,,
36,22,5001500US3622,3622,New York,New York,NY,R,,,,
36,23,5001500US3623,3623,New York,New York,NY,R,,,,
36,24,5001500US3624,3624,New York,New York,NY,R,,,,
36,25,5001500US3625,3625,New York,New York,NY,D,,,,
36,26,5001500US3626,3626,New York,New York,NY,D,,,,
36,27,5001500US3627,3627,New York,New York,NY,R,,,,
36,3,5001500US3603,3603,New York,New York,NY,D,,,,
36,4,5001500US3604,3604,New York,New York,NY,D,,,,
36,5,5001500US3605,3605,New York,New York,NY,D,,,,
36,6,5001500US3606,3606,New York,New York,NY,D,,,,
36,7,5001500US3607,3607,New York,New York,NY,D,,,,
36,8,5001500US3608,3608,New York,New York,NY,D,,,,
36,9,5001500US3609,3609,New York,New York,NY,D,,,,
37,1,5001500US3701,3701,North Carolina,Caroline du Nord,NC,D,,,,
37,10,5001500US3710,3710,North Carolina,Caroline du Nord,NC,R,,,,
37,11,5001500US3711,3711,North Carolina,Caroline du Nord,NC,R,,,,
37,12,5001500US3712,3712,North Carolina,Caroline du Nord,NC,D,,,,
37,13,5001500US3713,3713,North Carolina,Caroline du Nord,NC,R,,,,
37,2,5001500US3702,3702,North Carolina,Caroline du Nord,NC,R,,,,
37,3,5001500US3703,3703,North Carolina,Caroline du Nord,NC,R,,,,
37,4,5001500US3704,3704,North Carolina,Caroline du Nord,NC,D,,,,
37,5,5001500US3705,3705,North Carolina,Caroline du Nord,NC,R,,,,
37,6,5001500US3706,3706,North Carolina,Caroline du Nord,NC,R,,,,
37,7,5001500US3707,3707,North Carolina,Caroline du Nord,NC,R,,,,
37,8,5001500US3708,3708,North Carolina,Caroline du Nord,NC,R,,,,
