statefp,cd115fp,affgeoid,id,state,fr,abr,NYT,elu,name,percent_dem,percent_rep
36,2,5001500US3602,3602,New York,New York,NY,N.Y. 2,R,,,
36,20,5001500US3620,3620,New York,New York,NY,N.Y. 20,D,,,
36,21,5001500US3621,3621,New York,New York,NY,N.Y. 21,R,,,
36,22,5001500US3622,3622,New York,New York,NY,N.Y. 22,,,,
36,23,5001500US3623,3623,New York,New York,NY,N.Y. 23,R,,,
36,24,5001500US3624,3624,New York,New York,NY,N.Y. 24,R,,,
36,25,5001500US3625,3625,New York,New York,NY,N.Y. 25,,,,
36,26,5001500US3626,3626,New York,New York,NY,N.Y. 26,D,,,
36,27,5001500US3627,3627,New York,New York,NY,N.Y. 27,,,,
36,3,5001500US3603,3603,New York,New York,NY,N.Y. 3,D,,,
36,4,5001500US3604,3604,New York,New York,NY,N.Y. 4,D,,,
36,5,5001500US3605,3605,New York,New York,NY,N.Y. 5,D,,,
36,6,5001500US3606,3606,New York,New York,NY,N.Y. 6,D,,,
36,7,5001500US3607,3607,New York,New York,NY,N.Y. 7,D,,,
36,8,5001500US3608,3608,New York,New York,NY,N.Y. 8,D,,,
36,9,5001500US3609,3609,New York,New York,NY,N.Y. 9,D,,,
31,1,5001500US3101,3101,Nebraska,Nebraska,NE,Neb. 1,R,,,
31,2,5001500US3102,3102,Nebraska,Nebraska,NE,Neb. 2,R,,,
31,3,5001500US3103,3103,Nebraska,Nebraska,NE,Neb. 3,R,,,
32,1,5001500US3201,3201,Nevada,Nevada,NV,Nev. 1,,,,
32,2,5001500US3202,3202,Nevada,Nevada,NV,Nev. 2,,,,
32,3,5001500US3203,3203,Nevada,Nevada,NV,Nev. 3,,,,
32,4,5001500US3204,3204,Nevada,Nevada,NV,Nev. 4,,,,
39,1,5001500US3901,3901,Ohio,Ohio,OH,Ohio 1,R,,,
39,10,5001500US3910,3910,Ohio,Ohio,OH,Ohio 10,R,,,
39,11,5001500US3911,3911,Ohio,Ohio,OH,Ohio 11,D,,,
39,12,5001500US3912,3912,Ohio,Ohio,OH,Ohio 12,R,,,
39,13,5001500US3913,3913,Ohio,Ohio,OH,Ohio 13,D,,,
39,14,5001500US3914,3914,Ohio,Ohio,OH,Ohio 14,R,,,
39,15,5001500US3915,3915,Ohio,Ohio,OH,Ohio 15,R,,,
39,16,5001500US3916,3916,Ohio,Ohio,OH,Ohio 16,,,,
