title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
Mme,Geneviève Levy,Pas de réponse.,omc_pa267378,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267378.jpg,Les Républicains,,,LR,,Var,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,George Pau-Langevin,"""Les députés sont répartis en commission car nous ne pouvons pas étudier tous les sujets. L'Assemblée venait de siéger matin, midi et soir et cela depuis 3 semaines samedi et dimanche compris, ce qui n'est pas possible pour une seule personne. Il faut donc se répartir. Je suis les dossiers liés à l'éducation, l'enseignement supérieur, la culture, les médias, la vie associative et la jeunesse. J'ai bien compris la déception de certains de mes administrés, mais qui serait capable de travailler 7jours/7 de 9 heures à 1 heure du matin  sans jamais être fatigué ?""",omc_pa335532,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335532.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Paris,15e,,,Absent(e),Absent(e),,Absent(e),,,Pour
Mme,Géraldine Bannier,"""Je me suis abstenue sur l'amendement Orphelin en première lecture et j'étais absente sur ce point lors de la lecture suivante pour cause de rendez-vous concomitants en circonscription.""",omc_pa720256,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720256.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Mayenne,2e,,,Abstention,Présent,Abstention,Absent(e),,,Contre
M.,Gérard Cherpion,Pas de réponse.,omc_pa856,http://www2.assemblee-nationale.fr/static/tribun/15/photos/856.jpg,Les Républicains,,,LR,,Vosges,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Gérard Menuel,Pas de réponse.,omc_pa2155,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2155.jpg,Les Républicains,,,LR,,Aube,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Gilbert Collard,Pas de réponse.,omc_pa606212,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606212.jpg,Non inscrit,,,NI (RN),,Gard,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Gilles Carrez,Pas de réponse.,omc_pa746,http://www2.assemblee-nationale.fr/static/tribun/15/photos/746.jpg,Les Républicains,,,LR,,Val-de-Marne,5e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Gilles Le Gendre,Pas de réponse.,omc_pa721466,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721466.jpg,La République en marche,,,LREM,,Paris,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Gilles Lurton,Pas de réponse.,omc_pa606712,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606712.jpg,Les Républicains,,,LR,,Ille-et-Vilaine,7e,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Pas de réponse
Mme,Gisèle Biémouret,"""Le 28 mai, j'étais à une réunion en Commission des affaires sociales et travaux en groupe pour l'examen du projet de loi sur la formation professionnelle. Le 14 septembre, j'avais des obligations en circonscription (ex. Conseil de surveillance de l'hôpital de Condom).""",omc_pa508,http://www2.assemblee-nationale.fr/static/tribun/15/photos/508.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Gers,2e,,,Absent(e),Absent(e),,Absent(e),,,Pour
