title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Jean-Yves Bony,Présent aux deux votes.,omc_pa266793,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266793.jpg,Les Républicains,,,LR,,Cantal,2.0,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Contre
M.,Nicolas Turquois,Présent aux deux votes.,omc_pa722162,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722162.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Vienne,4.0,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Contre
Mme,Sophie Auconie,Présent aux deux votes.,omc_pa719806,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719806.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Indre-et-Loire,3.0,,,Contre,Présent,Contre,Absent,,,Ne veut pas répondre
M.,Éric Girardin,"Présent lors de la séance de nuit, en première lecture je ne pouvais être présent lors du second vote car j'examinais les articles du projet de loi relatif à la croissance et la transformation des entreprises (loi PACTE) dont je suis l'un des ambassadeurs.",omc_pa720222,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720222.jpg,La République en Marche,,,LREM,,Marne,3.0,,,Contre,Présent,Contre,Absent,,,Contre
Mme,Delphine Batho,Présente aux deux votes,omc_pa335999,http://www2.assemblee-nationale.fr/static/tribun/15/photos/335999.jpg,Non inscrit,,,NI,PS,Deux-Sèvres,2.0,,,Pour,Présent,Pour,Pour,PRESENT,POUR,Pour
Mme,Cendra Motin,"Quant à la raison de mon absence, bien que je n'ai pas à m'en justifier, elle est due à : 1- des engagements sur mon territoire, après une fête des mères passée dans l'hémicycle. 2- l'impossibilité de remonter sur Paris après mes rendez-vous à cause de la grève SNCF qui rendait très difficile mes déplacements à cette période",omc_pa719850,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719850.jpg,La République en Marche,,,LREM,,Isère,6.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Contre
Mme,Pascale Boyer,Retenue en circonscription,omc_pa718710,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718710.jpg,La République en Marche,,,LREM,,Hautes-Alpes,1.0,,,Contre,Présent,Contre,Absent,,,Contre
M.,Erwan Balanant,"Si j'étais absent à ce vote c'est parce qu'il a eu lieu à 1h45 du matin et qu'il ne devait pas avoir lieu à cette heure. Nous faisons des séances de nuit tous les soirs. La pratique est que si l'examen du texte continue le lendemain, la séance s'arrête à 1h. Pour d'obscures raisons que j'ai fortement critiquées, la séance a été prolongée. Et nous sommes nombreux à n'avoir pu être là.""",omc_pa719558,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719558.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Finistère,8.0,,,Absent,Absent,,Absent,,,Pour
M.,Grégory Besson-Moreau,Si j'étais absent lors du vote la raison est très simple : j'étais dans ma circonscription de l'Aube avec des éleveurs laitiers.,omc_pa718876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718876.jpg,La République en Marche,,,LREM,,Aube,1.0,,,Contre,Présent,Contre,Absent,,,Contre
M.,Stéphane Mazars,"Si je n'ai pas pris part à ce scrutin intervenu par voie d'amendement vers 2h du matin le 28 mai, c'est pour des contraintes d'agenda et de repos, et plus particulièrement de priorité donnée au calendrier de la commission des lois qui examine plus de la moitié des textes à l'Assemblée et dont je suis Vice-Président ; étant précisé qu'au mois de mai dernier je venais d'être missionné par le Premier Ministre pour établir un rapport sur l'innovation, le numérique, les nouvelles technologies et la ruralité.",omc_pa677483,http://www2.assemblee-nationale.fr/static/tribun/15/photos/677483.jpg,La République en Marche,,,LREM,,Aveyron,1.0,,,Absent,Absent,,Absent,,,Contre
M.,François-Michel Lambert,"Signataire de l'amendement pour l'interdiction, je fus malheureusement malade ce soir là, j'ai ensuite re déposé le 15 septembre un amendement pour l'interdiction du Glyphosate",omc_pa605518,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605518.jpg,Libertés et Territoires,,,LREM,,Bouches-du-Rhône,10.0,,SIGNATAIRE,Absent,Absent,,Pour,PRESENT,POUR,Pour
M.,Hubert Wulfranc,Sur les raisons de son absence vous vous doutez que monsieur Wulfranc a aussi des engagements en circonscription et qu'il ne peut pas toujours être à l'Assemblée nationale. De plus la majorité parlementaire s'est arrangée à chaque fois pour faire passer la mesure en question à des horaires particulièrement tardif au coeur de la nuit.,omc_pa722110,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722110.jpg,Gauche démocrate et républicaine,,,PCF,,Seine-Maritime,3.0,,,Absent,Absent,,Absent,,,Pour
Mme,Patricia Mirallès,"Tout d'abord, il est utile de rappeler que chaque député appartient à une commission permanente qui, compte tenu de sa compétence, a à connaître ou pas des textes mis à l'ordre du jour. C'est ainsi qu'en ma qualité de commissaire à la défense et aux forces armées, j'ai activement participé à l'élaboration de la loi de programmation militaire comme je le fais actuellement sur le projet de loi PACTE. Ensuite, et comme le rappelle l'article 24 de la constitution, le rôle d'un député ne se limite pas au vote de la loi ce qui ne lui permet malheureusement pas d'assister à l'examen et au vote de l'intégralité des textes étudiés en hémicycle. La diversité du travail législatif auquel s'ajoute le travail en circonscription impose de faire des choix, pas toujours évidents d'ailleurs, sans que cela ne constitue de la négligence ou de l'indifférence à l'endroit d'un texte…. a fortiori lorsqu'il traite d'une problématique aussi fondamentale que le glyphosate qui me préoccupe tant en qualité d'élue, que de citoyenne ou de mère. C'est ainsi que j'intervenais au moment du vote en seconde lecture dans le cadre d'un débat de lutte contre la radicalisation en circonscription.",omc_pa719668,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719668.jpg,La République en Marche,,,LREM,,Hérault,1.0,SIGNATAIRE,,Absent,Absent,,Absent,,,Contre
M.,David Habib,"Toute interdiction passe, selon moi, par l'échelon communautaire avec une application simultanée. Pour cette raison, je n'ai pas pris part aux votes relatifs au glyphosate.",omc_pa1592,http://www2.assemblee-nationale.fr/static/tribun/15/photos/1592.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Pyrénées-Atlantiques,3.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Yannick Favennec Becot,Yannick Favennec est pour l'inscription de l'interdiction et n'était pas présent en séance pour des raisons personnelles.,omc_pa267042,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267042.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Mayenne,3.0,,,Absent,Absent,,Absent,,,Pour
M.,Adrien Morenas,Pas de réponse.,omc_pa721876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721876.jpg,La République en Marche,,,LREM,,Vaucluse,3.0,,SIGNATAIRE,Absent,Absent,,Absent,,,Pas de réponse
M.,Adrien Taquet,Pas de réponse.,omc_pa722086,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722086.jpg,La République en Marche,,,LREM,,Hauts-de-Seine,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
Mme,Agnès Thill,Pas de réponse.,omc_pa720568,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720568.jpg,La République en Marche,,,LREM,,Oise,2.0,,SIGNATAIRE,Absent,Absent,,Absent,,,Pas de réponse
Mme,Aina Kuric,Pas de réponse.,omc_pa720214,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720214.jpg,La République en Marche,,,LREM,,Marne,2.0,,,Absent,Absent,,Absent,,,Pas de réponse
