title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier+AF8-scrutin+AF8-presence,premier+AF8-scrutin+AF8-vote,septembre,deuxieme+AF8-scrutin+AF8-presence,deuxieme+AF8-scrutin+AF8-vote,envoye+AF8-special
M.,Antoine Savignat,Pas de r+AOk-ponse.,omc+AF8-pa748954,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/748954.jpg,Les R+AOk-publicains,,,LR,,Val+AC0-d'Oise,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Arnaud Viala,Pas de r+AOk-ponse.,omc+AF8-pa709315,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/709315.jpg,Les R+AOk-publicains,,,LR,,Aveyron,3e,,,Contre,Pr+AOk-sent,Contre,Absent(e),,,Pas de r+AOk-ponse
Mme,Aude Amadou,Pas de r+AOk-ponse.,omc+AF8-pa720124,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720124.jpg,La R+AOk-publique en marche,,,LREM,,Loire+AC0-Atlantique,4e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Aude Bono+AC0-Vandorme,Pas de r+AOk-ponse.,omc+AF8-pa718756,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/718756.jpg,La R+AOk-publique en marche,,,LREM,,Aisne,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Aude Luquet,Pas de r+AOk-ponse.,omc+AF8-pa721530,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721530.jpg,Mouvement D+AOk-mocrate et apparent+AOk-s,,,MODEM,,Seine+AC0-et+AC0-Marne,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Audrey Dufeu Schubert,Pas de r+AOk-ponse.,omc+AF8-pa720046,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720046.jpg,La R+AOk-publique en marche,,,LREM,,Loire+AC0-Atlantique,8e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Aur+AOk-lien Pradi+AOk-,Pas de r+AOk-ponse.,omc+AF8-pa720100,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720100.jpg,Les R+AOk-publicains,,,LR,,Lot,1+AOg-re,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Aur+AOk-lien Tach+AOk-,Pas de r+AOk-ponse.,omc+AF8-pa720952,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720952.jpg,La R+AOk-publique en marche,,,LREM,,Val+AC0-d'Oise,10e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Aurore Berg+AOk-,+ACI-+ACIAIg-Le 28 mai, pr+AOk-sence au conseil municipal de la ville o+APk- je suis +AOk-lue. Le 14 septembre, intervention +AOA- La Rochelle dans le cadre du festival de la fiction (en qualit+AOk- de rapporteure de la mission d'information sur la r+AOk-forme de la r+AOk-gulation de l'audiovisuel).+ACIAIg-+ACI-,omc+AF8-pa722046,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/722046.jpg,La R+AOk-publique en marche,,,LREM,,Yvelines,10e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Barbara Bessot Ballot,Ne souhaite pas r+AOk-pondre.,omc+AF8-pa722312,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/722312.jpg,La R+AOk-publique en marche,,,LREM,,Haute+AC0-Sa+APQ-ne,1+AOg-re,,,Contre,Pr+AOk-sent,Contre,Absent(e),,,Ne veut pas r+AOk-pondre
